,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,bandarbeyla,9.4942,50.8122,299.95,78,14,1.56,SO,1697679198
348,mount gambier,-37.8333,140.7667,299.11,25,72,3.02,AU,1697679217
349,peniche,39.3558,-9.3811,294.42,96,71,7.93,PT,1697679744
350,mugia,43.1041,-9.2179,292.68,86,99,11.51,ES,1697679187
351,necochea,-38.5473,-58.7368,284.87,57,100,4.38,AR,1697679744
352,grand falls-windsor,48.9332,-55.6649,275.65,90,9,2.91,CA,1697679744
353,hasaki,35.7333,140.8333,297.2,59,86,7.57,JP,1697679744
354,caucete,-31.6518,-68.2811,287.7,55,0,6.34,AR,1697679744
355,haapsalu,58.9431,23.5414,275.94,77,99,4.97,EE,1697679745
356,enriquillo,17.9,-71.2333,300.01,82,12,3.0,DO,1697679745
357,hilo,19.7297,-155.09,302.75,75,75,3.6,US,1697679745
358,heroica guaymas,27.9333,-110.9,305.31,79,40,4.63,MX,1697679745
359,jackson,42.4165,-122.8345,298.73,70,96,0.92,US,1697679522
360,ngorongoro,-3.2397,35.4875,285.2,92,22,1.75,TZ,1697679745
361,brisas de zicatela,15.8369,-97.0419,302.44,58,40,1.54,MX,1697679234
362,montego bay,18.4712,-77.9188,301.04,78,20,1.03,JM,1697679467
